Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
1,James Harden,28,HOU,965,1010,0.955,72,65,1,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,8.3,10.9,,,,
2,LeBron,33,CLE,738,1010,0.731,82,50,6,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14,0.221,8.9,9.6,,,,
3,Davis,24,NOP,445,1010,0.441,75,48,9,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,4.9,5.2,,,,
4,Damian Lillard,27,POR,207,1010,0.205,73,49,7,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227,5.9,6.7,,,,
5,Russell Westbrook,29,OKC,76,1010,0.075,80,48,10,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166,7.5,8.2,,,,
6,Giannis,23,MIL,75,1010,0.074,75,44,16,36.7,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207,5.4,5.8,,,,
7,Kevin Durant,29,GSW,66,1010,0.065,68,58,3,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215,4.5,5.6,,,,
8,DeMar DeRozan,28,TOR,32,1010,0.032,80,59,2,33.9,23,3.9,5.2,1.1,0.3,0.456,0.312,0.825,9.6,0.17,2.6,1.8,,,,
9,LaMarcus Aldridge,32,SAS,6,1010,0.006,75,47,13,33.5,23.1,8.5,2,0.6,1.2,0.51,0.293,0.837,10.9,0.209,3.3,3.3,,,,
10,Jimmy Butler,28,MIN,5,1010,0.005,59,47,12,36.7,22.2,5.3,4.9,2,0.4,0.474,0.35,0.854,8.9,0.198,3.8,5,,,,
10,Stephen Curry,29,GSW,5,1010,0.005,51,58,3,32,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267,4.4,8.6,,,,
